Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
09/26/2016 01:45:42.401 	com.microsoft.Word	0xb0081000	                        com.microsoft.Word	Experiment Liblet	bdlx2	Information 	FeatureList {"Source": "Ecs", "FeatureName": "ofa11ax6qwtmfc0"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.401 	com.microsoft.Word	0xb0081000	                        com.microsoft.Word	Experiment Liblet	bdlx2	Information 	FeatureList {"Source": "Ecs", "FeatureName": "of24c465f5qmvv0"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.401 	com.microsoft.Word	0xb0081000	                        com.microsoft.Word	Experiment Liblet	bcjel	Information 	Could not get stored Dogfood string	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.403 	com.microsoft.Word	0xb0219000	                        com.microsoft.Word	Experiment Liblet	bd9vd	Information 	In PopulateFeatureNameForFlight {"FeatureName": "Microsoft.Office.Experiment.PollingDuration", "Flight Name": "ofecgl4pfbgfif0"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.403 	com.microsoft.Word	0xb031d000	                        com.microsoft.Word	Experiment Liblet	bbpzt	Information 	CachedFlightsNumberLineInfo {"CachedFlightsNumberLineInfo": "preallocation=allexpusers"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.403 	com.microsoft.Word	0xb031d000	                        com.microsoft.Word	Experiment Liblet	bekuu	Information 	Setting the callback for validation.	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.403 	com.microsoft.Word	0xb031d000	                        com.microsoft.Word	Experiment Liblet	bdlx1	Information 	Could not retrieve flights from persistent cache	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.403 	com.microsoft.Word	0xb031d000	                        com.microsoft.Word	Experiment Liblet	benmp	Information 	Creating Edge request {"RequestGUID": "AB1CD358-9E5E-684A-81C0-B61070F5E177"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.403 	com.microsoft.Word	0xb0081000	                        com.microsoft.Word	Rules Engine	ib6oq	Information 		5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.431 	com.microsoft.Word	0xb072d000	                        com.microsoft.Word	Identity Authentication Client	awuur	Information 	[IdentityManager] AreCredsDifferent {"Message": "Background Tasks with differences.", "IdentityProvider": "ADAL", "Size": 0}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.432 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	IdentityAuthenticationCredStore	ibzd0	Information 	[COfficeCredStore] GetAuthScheme {"Message": "AuthScheme for Url.", "Proxy": "Proxy", "Url": "<Url is PII>", "AuthScheme": 0}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.433 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	IdentityDocToServiceMapping	azr7p	Information 	[DocToServiceMapping] GetLiveIdServiceParams {"Message": "No service params for Url.", "Url": "<Url is PII>", "DomainOnly": false}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.433 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	IdentityAuthenticationCredStore	ibzd0	Information 	[COfficeCredStore] GetAuthScheme {"Message": "AuthScheme for Url.", "Proxy": "Server", "Url": "<Url is PII>", "AuthScheme": 0}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.448 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	TimerScope	ian13	Information 	{"_originalTraceTime": 2016-09-26T01:45:42Z, "ID": "word.bootMainToActive", "Instance": 1, "Action": "Start"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.448 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	WLM	ib6vf	Information 	Registry Load Time {"_originalTraceTime": 2016-09-26T01:45:42Z, "Seconds": 0.006967, "Keys": 344, "Values": 2409}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.448 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	Performance Hang Detection	ibyng	Information 	Hang detection started. {"_originalTraceTime": 2016-09-26T01:45:42Z}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.448 	com.microsoft.Word	0xb031d000	                        com.microsoft.Word	MbuFont	ibutp	Information 	{"_originalTraceTime": 2016-09-26T01:45:42Z, "NumFonts": 610, "NumCreatedFonts": 40, "NumErsatzFonts": 0}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.450 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	merp.sqm.public	iam9v	Information 	Configuration {"DATAID_NUM_PROC":4,"LocaleCurrent":"en_US","DATAID_BUILD_REVISION":5,"DATAID_OS_MAJORVERSION":10,"DATAID_PROC_SPEED":2800,"DATAID_MEMORY":8192,"DATAID_OS_MINORVERSION":11,"DATAID_OFFICE_SKU_LANG":1033,"DATAID_OFFICE_UI_LANG":1033,"DATAID_APPMINORVER":22,"DATAID_APPVER":1,"LocalePreferred":"en","DATAID_APPVERDOT":160512,"DATAID_APPMAJORVER":15,"ProcessorID":7,"MachineKind":"iMac16,2","LocaleCountryCodeCurrent":"US"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.450 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	merp.sqm.public	iam9t	Information 	{"UserGuid":"1316927150-61553-5943-ec196e3ea5b79eb"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.450 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	merp.sqm.public	iam9u	Information 	{"MachineGuid":"1316927150-61553-5943-236196e3ea5b79eb"}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
09/26/2016 01:45:42.450 	com.microsoft.Word	0xb0629000	                        com.microsoft.Word	MbuInstrument	ib78a	Information 	Accessibility Settings {"IncreaseContrast": false, "DifferentiateWithoutColor": false, "ReduceTransparency": false, "UAZoomEnabled": false}	5E7F2DDF-D2FD-4846-9490-990F1AA59E0C 
